Geometry,Merge number,Art Year,Major conservation,created date,last edited,Artist full name,List title,Short description,Tour card,Fact sheet URL,Photo quality,Video URL,Google map URL,Latitude,Longitude,photo caption,Photo alt,More Info URL,Related Project URL,Current Interest,Special Interest,Nearest Point of Interest,Zoom,Accession Number,Last name,First name,Series,Title,Featured,Display term,Detailed materials,Category,Object Type,Dimensions,Location,Additional Location Information,Actual address,Interior or Exterior,Location type,Location 2,Permission required,Permission type,Neighborhood,Tags keywords,tags keywords 2,Tour_Card,Conservation status,Temporary or permanent,Photo website,Theme Tags
POINT (-71.10773728029842 42.361197520151855),21,1987,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,David Phillips,Levitated Stone (3 small frogs),,,,2.0,,"https://www.google.com/maps/search/?api=1&query=42.36119752,-71.10773728",42.36119752,-71.10773728,,,,,,,Central,in,CAC.87.06c-e,Phillips,David,Levitated Stone,(3 small frogs),no,,Silicon bronze,Sculpture,Sculpture,"1.25""""(h) x 2.25""""(w) x 2.25""""(d) (each)",Dana Park,Intersection at Lawrence Street and Magazine street,,Exterior,Park,Park; Playground,no,,Cambridgeport,animal,frog; animal; outdoors; land; flora; fauna; nature,,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Phillips_LevitatedStones_10.JPG,goofy
POINT (-71.12049425059207 42.37241714978951),75,1986,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Carlos Dorrien,Quiet Cornerstone,,,,1.0,,"https://www.google.com/maps/search/?api=1&query=42.37241715,-71.12049425",42.37241715,-71.12049425,,,,,,,Harvard,same,CAC.86.08,Dorrien,Carlos,,Quiet Cornerstone,no,,Granite,Sculpture,Stone Steps,24”(h) x 144.25”(w) x 73.75”(d),Winthrop Park,At the intersection of JFK Street and Mount Auburn Street (Harvard Square),,Exterior,Park,Park,no,,West Cambridge,history,history; stone,,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Dorrien_CAC8608_QuietCornerstone.JPG,love
POINT (-71.14301424997474 42.39667266966382),98,1997,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Virginia Gunther,Flag Gate (b),,,,2.0,,"https://www.google.com/maps/search/?api=1&query=42.39667267,-71.14301425",42.39667267,-71.14301425,,,,,,,Alewife,in,CAC.97.05b,Gunther,Virginia,Flag Gate,,no,,Steel,Sculpture,Metal,60”(h) x 78.5”(w) x 6.5”(d),Minuteman Commuter Bikeway,End of Steel Place (street) on the north side of the Alewife MBTA station,,Exterior,Pathway,Pathway,no,,North Cambridge,entryway,flag; metal; entryway,,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Gunther_CAC9705ab_FlagGate.JPG,love
POINT (-71.0982675898374 42.36349795959671),153,2015,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Adam Simha,A Public Display of Intervention (a),,,,2.0,,"https://www.google.com/maps/search/?api=1&query=42.36349796,-71.09826759",42.36349796,-71.09826759,,,,,,,Central,in,CAC.15.01a,Simha,Adam,A Public Display of Intervention,,no,,"Painted steel, mounted on cement bench",Landscape,Bench,35.5”(h) x 274.25”(w) x 161”(d),Charles O. Dance Jr. Square,Intersection at Bishop Allen Drive and Main Street,,Exterior,Public Square,Public Square,no,,The Port,bench,bench; abstract; respite; seat; sit,,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_15_01a_Simha.jpg,goofy
POINT (-71.12800006011588 42.39234574025466),308,2001,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Michael Beatty,Spectrum,,,,2.0,,"https://www.google.com/maps/search/?api=1&query=42.39234574,-71.12800006",42.39234574,-71.12800006,,,,,,,Porter,same,CAC.01.01.1-22,Beatty,Michael,,Spectrum,no,,Wood and steel,Sculpture,Mobile,144”(h) x 144”(w) x 144”(d) (Overall),Peabody School,"In stairway, between ground floor and 1st floor",,Interior,School,School; Public Building,yes,"Call Public Art Administrator, 617-349-4388",North Cambridge,mobile,hanging; mobile; abstract; shape,,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Beatty_CAC0101_Spectrum.jpg,memorial
POINT (-71.10012897028528 42.36338506978845),343,2019,2020,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Rick Rawlins,Untitled (Poetry Scrim),,,,,,"https://www.google.com/maps/search/?api=1&query=42.36338507,-71.10012897",42.36338507,-71.10012897,,,,,,,Central,same,PN.2019.01,Rawlins,Rick,,Untitled (Poetry Scrim),no,,Construction Scrim,Mural,Printed Mural,,Lafayette Square,Intersection at Lafayette Square and Mass Ave.,,Exterior,Public Square,Public Square,no,,The Port,text,text; poetry; writing,,,Temporary,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Rawlins_Scrim.jpg,love
POINT (-71.13384440944085 42.37540312983088),70,2004,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Andreas Von Huene,Salmones Salari (The Great Leaper),,https://www.cambridgema.gov/-/media/Files/artscouncil/publicart/publicarttourcardspdf/CA_PublicArt_Cards_Ocean.pdf,,1.0,,"https://www.google.com/maps/search/?api=1&query=42.37540313,-71.13384441",42.37540313,-71.13384441,,,,,,,Mt. Auburn,same,CAC.04.04,Von Huene,Andreas,,Salmones Salari (The Great Leaper),no,,Granite,Sculpture,Fountain,15.5”(h) x 112”(w) x 98”(d),Lowell School Park,Intersection at Mount Auburn Street and Lowell Street,,Exterior,Playground,Park; Playground,no,,West Cambridge,water,water; fountain; fish; stone; ocean; water; sea; sea creature,Ode to the Ocean,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/VonHuene_CAC0404_SalmonSalari.JPG,industrial
POINT (-71.14308431046439 42.396799060121445),369,1997,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Carlos Dorrien,Alewife Portals,,https://www.cambridgema.gov/-/media/Files/artscouncil/publicart/publicarttourcardspdf/CA_PublicArt_Cards_Pedals.pdf,,1.0,,"https://www.google.com/maps/search/?api=1&query=42.39679906,-71.14308431",42.39679906,-71.14308431,,,,,,,Alewife,out,CAC.97.04,Dorrien,Carlos,Alewife Portals,,no,,Granite,Sculpture,Stone,,Minuteman Commuter Bikeway,End of Steel Place (street) on the north side of the Alewife MBTA station,,Exterior,Park,Park; Pathway,no,,North Cambridge,entryway,stone; fish; entryway; biking; bike path,Push Those Pedals,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Dorrien_AlewifePortals.jpg,oceanic
POINT (-71.11491920027291 42.36763101998769),139,1999,2020,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,William Reimann,Untitled (Column with blue jay),,https://www.cambridgema.gov/-/media/Files/artscouncil/publicart/publicarttourcardspdf/CA_PublicArt_Cards_Creature.pdf,,3.0,,"https://www.google.com/maps/search/?api=1&query=42.36763102,-71.1149192",42.36763102,-71.1149192,,,,,,,Harvard,in,CAC.99.08i,Reimann,William,Untitled,(Column with blue jay),yes,,Granite (sandblasted) and paint,Sculpture,Stone,38”(h) x 9”(w) x 9”(d),Corporal Burns Park,Intersection at Memorial Drive and Flagg Street,,Exterior,Park,Park; Pathway,no,,Riverside,animal,bird; nature; animal; critter; creature,Inspect a Cantabridgian Creature,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_99_08_h_Reimann.jpg,nostalgia
POINT (-71.11930661971802 42.388868909741106),102,2006,0,09/14/2021 12:00:00 AM,09/14/2021 12:00:00 AM,Toshihiro Katayama,Porter Square Landscape Design (Boulders),,https://www.cambridgema.gov/-/media/Files/artscouncil/publicart/publicarttourcardspdf/CA_PublicArt_Cards_Color.pdf,,,,"https://www.google.com/maps/search/?api=1&query=42.38886891,-71.11930662",42.38886891,-71.11930662,,,,,,,Porter,in,CAC.06.01d,Katayama,Toshihiro,Porter Square Landscape Design,(Boulders),no,,Natural granite boulders,Landscape,Boulders,258’(w) x 94’(d) overall,Porter Square Shopping Center,In front of the shops (directly across from the Porter Square T station),1931 Massachusetts Avenue,Exterior,Public Square,Public Square; Pathway,no,,North Cambridge,land design,abstract; land design; color; line; shape,Get a Blast of Local Color,,Permanent,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Katayama_CAC0601_PorterSquareLandscapeDesign.jpg,love
