List title,Artist full name,Latitude,Longitude,Tags keywords,tags keywords 2,Photo website,Neighborhood,Location,normalized tag
Inner City Totem I,Vusumuzi Maduna,42.36543405,-71.11116808,abstract,abstract; black artist; african art; history,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Maduna_CAC8101_PerspectivePhoto.JPG,Riverside,Cambridge Community Center,abstract
Floating Stones (Block),Edward Levine,42.38723211,-71.13365114,abstract,stone; abstract; landscape,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_02_Levine.JPG,Neighborhood Nine,Roethlisberger Park,abstract
The Late Flower Alphabet: Kyrie Gate,Murray Dewart,42.36781854,-71.11037121,abstract,garden; plant; grow; nurture; abstract; symbol; entryway,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Dewart_TheLateFlowerAlphabet_c_KyrieGate.JPG,Riverside,Franklin Street Park,abstract
Floating Stones (Block),Edward Levine,42.3871868,-71.13367639,abstract,stone; abstract; landscape,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_02_Levine.JPG,Neighborhood Nine,Roethlisberger Park,abstract
Untitled (Moses Youth Center Collaborative),Marc Cooper,42.3684011,-71.10075015,Abstract,abstract; shape; garden; surf,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Cooper_Untitled_04.jpg,,Moses Youth Center,abstract
Gore Field (b),Robert Schelling,42.37228735,-71.08337673,abstract,abstract; shape; entryway; play; spirit; fun,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Schilling_CAC0606b_GoreField.JPG,East Cambridge,Gold Star Mothers Park,abstract
Beacon of Color (e),Nancy Simonds,42.36868592,-71.07765427,abstract,abstract; shape; color,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_11_01e_Simonds.jpg,East Cambridge,First Street Garage,abstract
Floating Stones (Ground inlay),Edward Levine,42.38725101,-71.13357663,abstract,stone; abstract; landscape,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_02_Levine.JPG,Neighborhood Nine,Roethlisberger Park,abstract
The Late Flower Alphabet: Bright Morning,Murray Dewart,42.36770142,-71.11037392,abstract,abstract; symbol; garden; plant; grow; nurture,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Dewart_TheLateFlowerAlphabet_b_BrightMorning.jpg,Riverside,Franklin Street Park,abstract
Shadow Walk,Beth Galston,42.36674522,-71.09509001,abstract,abstract; metal,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/cac_84_03a_gregorywye.jpg,The Port,Greene-Rose Heritage Park,abstract
Shadow Walk (a),Beth Galston,42.36674522,-71.09509001,abstract,abstract; metal,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/cac_84_03a_gregorywye.jpg,The Port,Greene-Rose Heritage Park,abstract
Pipe Dreams,NuVu Studio,42.38665,-71.13643,abstract,abstract; play; community,,Neighborhood Nine,Louis A. DePasquale Universal Design Playground,abstract
Floating Stones (Block),Edward Levine,42.38727513,-71.13356518,abstract,stone; abstract; landscape,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/CAC_92_02_Levine.JPG,Neighborhood Nine,Roethlisberger Park,abstract
Quake,Dewitt Godfrey,42.35855353,-71.10269679,abstract,abstract; entryway; biking; bike path,https://www.cambridgema.gov/-/media/Images/artscouncil/publicartwebsite/2021publicartmap/Godfrey_CA1503_Quake.JPG,Cambridgeport,Waverly Street Extension/ Waverly Path,abstract
